id,year,issue_d,emp_length_int,home_ownership,income_category,annual_inc,loan_amount,term,application_type,purpose,interest_payments,loan_condition,interest_rate,grade,dti,total_pymnt,total_rec_prncp,recoveries,installment,region
434787,12527094,2014,01/02/2014,10.0,RENT,Low,39000,10000, 60 months,INDIVIDUAL,credit_card,High,Good Loan,15.31,C,20.4,11930.98,10000.0,0.0,239.53,cannught
434788,12527081,2014,01/02/2014,3.0,MORTGAGE,Medium,112000,10000, 60 months,INDIVIDUAL,home_improvement,High,Good Loan,14.16,C,6.54,10904.91802,10000.0,0.0,233.52,cannught
434790,12545243,2014,01/02/2014,10.0,MORTGAGE,Low,56000,8000, 36 months,INDIVIDUAL,credit_card,Low,Good Loan,11.99,B,11.21,8571.04,8000.0,0.0,265.68,leinster
434791,12477091,2014,01/02/2014,10.0,MORTGAGE,Low,63000,10000, 60 months,INDIVIDUAL,debt_consolidation,High,Good Loan,14.64,C,33.41,12361.1,10000.0,0.0,236.02,cannught
434792,12507128,2014,01/02/2014,2.0,MORTGAGE,Low,71000,12000, 60 months,INDIVIDUAL,debt_consolidation,High,Good Loan,16.59,D,10.01,6503.2,3308.42,0.0,295.6,cannught
434793,12487090,2014,01/02/2014,8.0,RENT,Low,60000,6725, 36 months,INDIVIDUAL,debt_consolidation,Low,Good Loan,9.67,B,21.1,4751.12,3876.83,0.0,215.96,ulster
434794,12466833,2014,01/02/2014,3.0,RENT,Low,57784,20825, 60 months,INDIVIDUAL,debt_consolidation,High,Good Loan,21.99,E,26.67,12651.1,5183.66,0.0,575.05,leinster
434795,12457068,2014,01/02/2014,0.5,RENT,Low,60000,5075, 36 months,INDIVIDUAL,debt_consolidation,High,Bad Loan,13.65,C,2.6,690.4,467.39,0.0,172.6,ulster
434796,12467075,2014,01/02/2014,2.0,RENT,Low,70000,15000, 60 months,INDIVIDUAL,credit_card,Low,Good Loan,11.99,B,21.33,17127.0,15000.0,0.0,333.6,leinster
434797,12477080,2014,01/02/2014,4.0,MORTGAGE,Low,75000,7000, 36 months,INDIVIDUAL,debt_consolidation,Low,Good Loan,11.99,B,9.07,7569.629962000001,7000.0,0.0,232.47,Northern-Irl
434799,12517048,2014,01/02/2014,3.0,MORTGAGE,Low,32000,8000, 36 months,INDIVIDUAL,debt_consolidation,Low,Good Loan,7.62,A,20.23,5484.6,4670.88,0.0,249.3,leinster
434801,12516258,2014,01/02/2014,6.05,MORTGAGE,Low,26000,6000, 36 months,INDIVIDUAL,debt_consolidation,Low,Good Loan,12.49,B,15.83,6893.51,6000.0,0.0,200.7,cannught
434802,12517078,2014,01/02/2014,10.0,OWN,Low,40000,15000, 60 months,INDIVIDUAL,debt_consolidation,High,Good Loan,16.59,D,10.32,8128.78,4135.27,0.0,369.49,leinster
434804,12465063,2014,01/02/2014,8.0,MORTGAGE,Medium,125000,16000, 36 months,INDIVIDUAL,credit_card,Low,Good Loan,6.03,A,6.27,16549.70734,16000.0,0.0,486.97,Northern-Irl
434805,12486579,2014,01/02/2014,6.0,MORTGAGE,Low,50000,10000, 60 months,INDIVIDUAL,debt_consolidation,Low,Good Loan,10.99,B,17.04,11421.45,10000.0,0.0,217.38,cannught
434806,12457085,2014,01/02/2014,3.0,MORTGAGE,Low,100000,20800, 36 months,INDIVIDUAL,debt_consolidation,Low,Good Loan,8.9,A,8.4,14530.34,12048.16,0.0,660.47,leinster
434807,12517100,2014,01/02/2014,5.0,MORTGAGE,Medium,200000,14000, 60 months,INDIVIDUAL,debt_consolidation,High,Good Loan,15.61,C,8.84,7473.45,3929.98,0.0,337.56,Northern-Irl
434808,12467145,2014,01/02/2014,7.0,MORTGAGE,Low,60000,10000, 36 months,INDIVIDUAL,debt_consolidation,Low,Good Loan,12.99,B,19.18,11126.96,10000.0,0.0,336.9,Northern-Irl
434809,12447161,2014,01/02/2014,10.0,MORTGAGE,Low,60000,9500, 36 months,INDIVIDUAL,credit_card,Low,Good Loan,7.9,A,6.64,10420.22,9500.0,0.0,297.26,munster
